client_id,contact,month,campaign,pdays,previous,poutcome,y
0,telephone,may,1,,0,nonexistent,0
1,telephone,may,1,,0,nonexistent,0
2,telephone,may,1,,0,nonexistent,0
3,telephone,may,1,,0,nonexistent,0
4,telephone,may,1,,0,nonexistent,0
5,telephone,may,1,,0,nonexistent,0
6,telephone,may,1,,0,nonexistent,0
7,telephone,may,1,,0,nonexistent,0
8,telephone,may,1,,0,nonexistent,0
9,telephone,may,1,,0,nonexistent,0
10,telephone,may,1,,0,nonexistent,0
11,telephone,may,1,,0,nonexistent,0
12,telephone,may,1,,0,nonexistent,0
13,telephone,may,1,,0,nonexistent,0
14,telephone,may,1,,0,nonexistent,0
15,telephone,may,1,,0,nonexistent,0
16,telephone,may,1,,0,nonexistent,0
17,telephone,may,1,,0,nonexistent,0
18,telephone,may,1,,0,nonexistent,0
19,telephone,may,1,,0,nonexistent,0
20,telephone,may,1,,0,nonexistent,0
21,telephone,may,1,,0,nonexistent,0
22,telephone,may,1,,0,nonexistent,0
23,telephone,may,1,,0,nonexistent,0
24,telephone,may,1,,0,nonexistent,0
25,telephone,may,1,,0,nonexistent,0
26,telephone,may,1,,0,nonexistent,0
27,telephone,may,1,,0,nonexistent,0
28,telephone,may,2,,0,nonexistent,0
29,telephone,may,1,,0,nonexistent,0
30,telephone,may,1,,0,nonexistent,0
31,telephone,may,1,,0,nonexistent,0
32,telephone,may,1,,0,nonexistent,0
33,telephone,may,1,,0,nonexistent,0
34,telephone,may,1,,0,nonexistent,0
35,telephone,may,1,,0,nonexistent,0
36,telephone,may,1,,0,nonexistent,0
37,telephone,may,1,,0,nonexistent,0
38,telephone,may,1,,0,nonexistent,0
39,telephone,may,1,,0,nonexistent,0
40,telephone,may,1,,0,nonexistent,0
41,telephone,may,1,,0,nonexistent,0
42,telephone,may,1,,0,nonexistent,0
43,telephone,may,1,,0,nonexistent,0
44,telephone,may,1,,0,nonexistent,0
45,telephone,may,1,,0,nonexistent,0
46,telephone,may,1,,0,nonexistent,0
47,telephone,may,1,,0,nonexistent,0
48,telephone,may,1,,0,nonexistent,0
49,telephone,may,2,,0,nonexistent,0
50,telephone,may,1,,0,nonexistent,0
51,telephone,may,1,,0,nonexistent,0
52,telephone,may,1,,0,nonexistent,0
53,telephone,may,1,,0,nonexistent,0
54,telephone,may,2,,0,nonexistent,0
55,telephone,may,1,,0,nonexistent,0
